  ch               cosh               Погрешность

    1490.479093    1490.479161       0.000068

      74.209907      74.209949       0.000041

    4051.542011    4051.542025       0.000014

      27.308222      27.308233       0.000011

   81377.395693   81377.395713       0.000020

    4051.542011    4051.542025       0.000014

      10.067660      10.067662       0.000002

      27.308222      27.308233       0.000011

     548.317010     548.317035       0.000025

       3.762187       3.762196       0.000009

